id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
126.0	1.3	2009.26447	42.37657	13.37255	6.408	360.0	85.0	10.0	-3041000.0	-2329000.0	795300.0	-1815000.0	84550.0	2830000.0
127.0	1.3	2009.26447	42.37705	13.37327	6.459	360.0	85.0	10.0	-1695000.0	-454200.0	192200.0	1354000.0	-1125000.0	-1974000.0
128.0	1.6	2009.26452	42.30932	13.41293	9.678	5.0	25.0	-40.0	-840900.0	-516700.0	-1161000.0	269500.0	-707400.0	1500000.0
129.0	1.4	2009.264529	42.26936	13.48264	5.561	65.0	10.0	-30.0	703700.0	583600.0	-59310.0	614800.0	-90220.0	-1020000.0
130.0	1.7	2009.264635	42.38804	13.35226	7.365	60.0	90.0	120.0	-597500.0	15010.0	210200.0	809100.0	-123000.0	-1854000.0
131.0	1.5	2009.264638	42.33693	13.4482	13.689	15.0	65.0	-60.0	429400.0	96480.0	489400.0	143500.0	104700.0	1156000.0
132.0	1.6	2009.264641	42.29205	13.42629	10.42	135.0	60.0	-120.0	-1614000.0	-872200.0	1261000.0	-784700.0	-780400.0	2823000.0
133.0	2.2	2009.264642	42.40682	13.36176	5.131	175.0	85.0	-40.0	-158400.0	121200.0	136000.0	776200.0	-471300.0	-64610.0
134.0	1.5	2009.264675	42.36927	13.38558	6.014	165.0	65.0	-20.0	-4635000.0	-4474000.0	3323000.0	-4429000.0	621800.0	9165000.0
135.0	1.1	2009.264688	42.35847	13.40121	5.732	105.0	70.0	-80.0	-8909000.0	-9955000.0	3889000.0	-11570000.0	954700.0	14460000.0
136.0	1.8	2009.264688	42.37449	13.3601	8.184	105.0	70.0	-80.0	454700.0	-553000.0	1922000.0	-5916.0	168200.0	1185000.0
137.0	1.5	2009.264693	42.37486	13.35787	8.018	320.0	90.0	-140.0	355800.0	-631800.0	1979000.0	-72110.0	20620.0	1493000.0
138.0	0.8	2009.264716	42.36902	13.36498	7.693	25.0	60.0	-70.0	-1062000.0	-2313000.0	3442000.0	395000.0	-705400.0	5227000.0
139.0	1.7	2009.264777	42.25352	13.50793	5.994	175.0	45.0	-80.0	267700.0	229700.0	-246600.0	278200.0	-46920.0	-704100.0
140.0	1.9	2009.264822	42.36269	13.33537	8.156	100.0	85.0	-160.0	309500.0	259600.0	-289300.0	-479900.0	-4410.0	55960.0
141.0	5.4	2009.264864	42.31282	13.47948	13.527	340.0	70.0	-60.0	332000.0	209100.0	391600.0	210600.0	477800.0	1315000.0
142.0	1.3	2009.264888	42.37535	13.36363	7.291	105.0	80.0	-70.0	-657600.0	-498100.0	525600.0	1065000.0	-564000.0	2433000.0
143.0	1.0	2009.264911	42.36233	13.40108	5.358	15.0	60.0	-30.0	-8765000.0	-9158000.0	3816000.0	-10550000.0	908300.0	13180000.0
